"Timestamp","What is your gender?","What is the geographic scope of the policy you’re describing?","Which US state do you reside in?","Which Canadian Province / Territory do you reside in?","Does the parental leave policy you're describing include an element of short term disability (STD) cover?","The company whose policy I am describing is a:","What is the name of the company whose policy you are describing?","Do you know the date from which this policy has been in force?","For STD maternity leave, how long in weeks does policy give you off for a vaginal birth with short term disability?","For STD maternity leave, how long in weeks does policy give you off for a caesarean section birth with short term disability?","For STD maternity leave, what the the full pay equivalent duration in weeks which is paid, taking into account periods of partial payment?","How many weeks (paid or unpaid) does the policy provide for Maternity / Primary Caregiver Leave?","For Maternity / Primary Caregiver Leave, what the the full pay equivalent duration in weeks which is paid, taking into account periods of partial payment?","If your company requires you to give notice of pregnancy within a certain period, what is the minimum number of weeks before the due date which is required?","What is the minimum number of weeks of service to qualify for Maternity / Primary Caregiver Leave?","If you leave the company within a certain time period, do you have to pay back your Maternity / Primary Caregiver Leave benefits? If so, enter the number of weeks after return to work within which you would be expected to repay","Are bonuses and/or raises pro-rated if you’re away on leave for part of the year? ","How many weeks (paid or unpaid) does the policy provide for Paternity / Secondary Caregiver Leave?","For Paternity / Secondary Caregiver Leave?, what the the full pay equivalent duration in weeks which is paid, taking into account periods of partial payment?","What is the minimum number of weeks of service to qualify for Paternity / Secondary Caregiver Leave?","If you leave the company within a certain time period, do you have to pay back your Paternity / Secondary Caregiver Leave benefits? If so, enter the number of weeks after return to work within which you would be expected to repay","Are bonuses and/or raises pro-rated if you’re away on Paternity / Secondary Caregiver Leave for part of the year? ","Does any of the parental leave policy described  also apply to fostering?","Does any of the parental leave policy described  also apply to adoptions?","If you have any other comments you’d like to include with your response, please type them here."
"2024/10/14 1:07:16 PM AST","Female","United States","Colorado","","No","Retail Broker","NFP","2024-01-01","","","","20","14","0","52","0","No","4","4","52","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear","Unsure about parental leave options. I’m currently on maternity leave and don’t have access to the actual policy. "
"2024/10/14 1:44:07 PM AST","Female","United States","Texas","","Yes","Carrier","USLI","","4","6","3.6","12","5","0","0","0","Yes","0","0","0","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2024/10/14 1:51:29 PM AST","Female","United States","Minnesota","","Yes","Retail Broker","Marsh McLennan Agency","","6","8","10","6","10","0","52","0","Yes","1","1","52","0","Yes","Yes","Yes",""
"2024/10/14 1:53:57 PM AST","Female","United States","Illinois","","Yes","Reinsurer","Munich Re","","6","8","6","8","8","12","0","0","No","6","0","0","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2024/10/14 1:56:34 PM AST","Female","United States","Florida","","Yes","Reinsurer","Chubb","2022-08-01","6","8","8","12","8","4","12","0","Unsure/Unclear","8","8","12","0","Unsure / Unclear","Yes","Yes",""
"2024/10/14 2:09:14 PM AST","Female","United States","Georgia","","Not Sure / Unclear","Carrier","PURE ","2022-01-01","6","13","3","12","12","0","0","0","No","6","6","0","0","No","Unsure / Unclear","Yes",""
"2024/10/14 3:13:15 PM AST","Female","UK","","","No","Carrier","Chubb","","","","","52","19.5","20","0","0","Yes","2","2","0","0","No","Unsure / Unclear","Unsure / Unclear",""
"2024/10/14 3:56:08 PM AST","Female","United States","Connecticut","","Yes","Agnecy","Bouvier Insurance","2022-01-01","8","8","4","0","0","0","52","0","Unsure/Unclear","0","0","52","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear","Our maternity leave is the state mandated fmla that is paid through taxes we get 12 weeks at 70% pay from the state. The agency offers nothing just what is paid for by the state. Short term disability also pays out 8 weeks at 60% pay but subtracts any amount you received from the state fmla. Short term paid me $125 for an entire 8 weeks when I took it in 2023. So I was at 70% pay for 12 weeks then I took an extra week of PTO to make it 13 weeks, that one week was paid at 100%"
"2024/10/14 4:00:38 PM AST","Female","United States","Colorado","","Yes","Retail Broker","Lockton","2022-01-01","18","20","18","12","12","0","0","0","Unsure/Unclear","12","12","0","0","Unsure / Unclear","Yes","Yes",""
"2024/10/14 4:27:57 PM AST","Female","United States","South Carolina","","Yes","Carrier","EMC","","6","8","4","4","12","12","52","0","Unsure/Unclear","4","4","52","0","Unsure / Unclear","Yes","Yes",""
"2024/10/14 4:29:08 PM AST","Female","UK","","","No","Carrier","WRB Underwriting ","2023-08-01","","","","52","19","12","104","0","Yes","2","2","1","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2024/10/14 4:53:58 PM AST","Female","United States","Wisconsin","","No","Carrier","WR Berkley","","","","","12","12","0","52","0","No","6","6","52","0","Yes","Unsure / Unclear","Yes",""
"2024/10/14 5:05:34 PM AST","Female","United States","Texas","","Yes","Carrier","Liberty","","8","8","8","8","8","4","52","0","Yes","8","8","52","0","Yes","Yes","Yes",""
"2024/10/14 5:19:51 PM AST","Female","United States","Illinois","","Yes","Retail Broker","Lockton","2021-01-01","6","8","3.6 ","12","12","4","0","0","Unsure/Unclear","12","12","0","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2024/10/14 5:33:58 PM AST","Female","United States","New York","","No","Carrier","AIG","","","","","8","7","2","0","0","Unsure/Unclear","8","7","0","0","Unsure / Unclear","No","Yes",""
"2024/10/14 6:08:53 PM AST","Female","United States","Florida","","Yes","Reinsurance Broker","Aon","2023-05-20","8","10","8  ","12","12","0","0","0","No","8","8","0","0","No","Yes","Yes",""
"2024/10/14 6:20:59 PM AST","Female","United States","North Carolina","","Yes","Carrier","Liberty Mutual","","8","8","8","8","8","0","52","0","Yes","8","8","52","0","Unsure / Unclear","Yes","Yes",""
"2024/10/14 8:17:38 PM AST","Female","United States","Georgia","","Not Sure / Unclear","Carrier","Beazley","2023-01-01","24","24","24","24","24","0","0","0","No","24","24","0","0","No","Yes","Yes","Beazley gives full 6 months paid parental leave to parents of all genders"
"2024/10/14 8:56:35 PM AST","Female","United States","New Jersey","","Yes","Credit rating agency","S&P Global","","6","8","6","26","26","8","0","0","No","26","27","0","0","No","Unsure / Unclear","Yes",""
"2024/10/14 8:58:01 PM AST","Female","United States","Missouri","","Yes","Retail Broker","Oberle","2023-01-01","6","8","3.6","12","2","0","0","0","Unsure/Unclear","6","3.6","0","0","Unsure / Unclear","Yes","Yes",""
"2024/10/14 9:16:07 PM AST","Female","United States","Texas","","Yes","Carrier","Starr","2023-01-01","12","15","9","12","9","12","0","0","Unsure/Unclear","4","4","1","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear","You’re first week of maternity leave is your PTO/Sick time then week 2-6 is 80% if you’ve been there less than 2 years 100% if been there over 2 years.  Makes get 4 paid weeks at 100% no matter how long they’ve been working at Starr "
"2024/10/14 9:20:45 PM AST","Female","United States","Connecticut","","Not Sure / Unclear","Mga","Ambridge","","12","12","12","12","12","0","52","0","No","0","0","0","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2024/10/14 9:47:21 PM AST","Female","United States","Pennsylvania","","Yes","Reinsurance Broker","Guy Carpenter","2017-01-01","6","8","22","8","8","4","52","0","Unsure/Unclear","8","8","52","0","No","Unsure / Unclear","Yes",""
"2024/10/14 10:30:27 PM AST","Female","United States","Virginia","","Yes","Carrier","Proassurance ","","8","10","6","4","3","0","0","0","No","2","1.5","0","0","No","No","Yes",""
"2024/10/14 10:40:23 PM AST","Female","United States","Ohio","","Yes","Carrier","Everest Insurance","","6","8","7","12","12","0","0","0","Unsure/Unclear","12","12","52","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2024/10/14 10:49:14 PM AST","Female","United States","Kansas","","Yes","Retail Broker","Lockton","","6","8","4.8","12","12","4","52","0","Unsure/Unclear","12","12","52","0","Unsure / Unclear","No","Yes","Emergency leave can be used to top up STD benefits from 60% to 100%, 1 day to cover the 40%. If you are married and both work at Lockton you have to share the 12 weeks of fully paid parental leave. Leave can be taken in 2 week increments any time up to 12 months from birth. You can add sick or vacation time to extend leave and your job is protected. "
"2024/10/14 10:54:40 PM AST","Female","Worldwide","","","Yes","Carrier","Swiss Re","2023-04-01","6","8","8","16","16","0","0","0","No","16","16","0","0","No","Unsure / Unclear","Yes","Swiss Re gives birthing parents the STD weeks 6 or 8 PLUS the 16 weeks parental leave. For a total of 22 or 24 fully paid weeks of maternity leave. "
"2024/10/14 11:11:47 PM AST","Female","United States","California","","Yes","Carrier","Allianz","","6","8","6","8","8","12","0","0","No","8","8","0","0","No","Unsure / Unclear","Yes","Leave can vary by state - for example in CA in addition to SDI + 8 weeks paid parental leave, employees can take 8 more weeks of CA PFL"
"2024/10/15 7:34:52 AM AST","Female","United States","Kansas","","Yes","Wholesale Broker","Burns & Wilcox ","2019-01-01","12","12","12","12","12","0","52","0","No","2","2","52","0","No","Unsure / Unclear","Unsure / Unclear",""
"2024/10/15 8:37:48 AM AST","Female","United States","Georgia","","No","MGA ","Mission underwriters","2024-01-01","","","","12","12","0","0","12","No","0","0","12","12","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2024/10/15 9:16:07 AM AST","Female","United States","Georgia","","Yes","Wholesale Broker","B&r","","16","16","6","16","12","0","0","0","No","12","12","0","0","No","Unsure / Unclear","Unsure / Unclear","The amount of time you are paid depends on your title within the company. Higher up/longer at company more time paid off. "
"2024/10/15 2:27:34 PM AST","Female","UK","","","No","Carrier","HDI Global Specialty","","","","","52","26","15","52","0","Yes","12","12","52","0","Yes","Unsure / Unclear","Yes",""
"2024/10/15 2:57:09 PM AST","Female","UK","","","Not Sure / Unclear","Carrier","Ki","","1","1","1","52","18","15","52","0","Unsure/Unclear","6","6","52","0","Unsure / Unclear","Yes","Yes",""
"2024/10/15 3:02:53 PM AST","Female","UK","","","Not Sure / Unclear","Carrier","Aviva","2019-04-01","100","100","100","52","26","13","26","0","Unsure/Unclear","52","26","26","0","Unsure / Unclear","Unsure / Unclear","Yes","STD doesn’t apply but I had to put a number in. "
"2024/10/15 3:07:14 PM AST","Female","UK","","","Not Sure / Unclear","Both wholesale and retail/ reinsurance broker","McGill and Partners","","52","52","52","52","52","0","0","0","No","26","26","0","0","Unsure / Unclear","Yes","Yes",""
"2024/10/15 3:29:13 PM AST","Female","United States","Illinois","","Yes","Retail Broker","Arthur J. Gallagher","","6","8","5","6","4","0","12","0","No","2","2","12","0","No","Yes","Yes",""
"2024/10/15 5:32:31 PM AST","Female","United States","Minnesota","","Yes","Reinsurance Broker","Aon","","6","8","7","8","8","0","0","0","No","8","8","0","0","No","Yes","Yes","Paid parental leave of 8 weeks also applies to situations such as use of a gestational carrier"
"2024/10/15 6:56:36 PM AST","Female","United States","Arizona","","Yes","Carrier","Hudson Insurance Group","","26","26","22.75","8","4","0","52","0","No","2","2","52","0","No","Yes","Yes",""
"2024/10/16 12:18:26 AM AST","Female","UK","","","No","Retail Broker","Lockton - London, UK","","","","","52","32","15","26","0","Unsure/Unclear","12","12","26","0","No","No","Yes",""
"2024/10/16 6:07:17 AM AST","Female","UK","","","Not Sure / Unclear","Wholesale Broker","Price Forbes ","2024-09-01","26","26","26","52","26","4","26","0","No","6","6","26","0","No","Yes","Yes",""
"2024/10/16 6:21:27 AM AST","Male","UK","","","No","Carrier","Aviva","","","","","52","26","15","26","0","Yes","26","26","26","0","Yes","No","Yes",""
"2024/10/16 9:40:46 AM AST","Female","Australia","","","Not Sure / Unclear","MGA","DUAL Australia","2024-07-01","18","18","18","18","18","0","26","0","Unsure/Unclear","18","18","26","0","Unsure / Unclear","Yes","Yes","It's nice to see that both primary and secondary caregivers are given the exact same number of weeks of leave.. the leave can be used flexibly over 24 months. From experience, I've seen secondary carers use the full entitlement of 18 weeks which is great to see."
"2024/10/16 9:56:11 AM AST","Female","United States","Oklahoma","","Yes","Retail Broker","Higginbotham","2024-01-01","6","8","3","6","4","0","90","0","Unsure/Unclear","6","4","12","0","Unsure / Unclear","Yes","Yes","The STD benefits are not spelled out in the benefits book nor is the repayment or how long you have to be with the company to get them. There is a max of 12 weeks allowed if you combine STD and the leave policy, they match the FMLA requirement. This is the first place I’ve worked that has offered anything other than an STD policy you have to pay for. I’ve had two children and as the primary breadwinner it was financially a huge setback for our family both times but I managed almost 10 weeks off with both of them. "
"2024/10/16 10:13:07 AM AST","Female","UK","","","Not Sure / Unclear","Retail Broker","Lockton","2019-01-01","1111","1111","1111","52","26","26","52","0","Unsure/Unclear","2","2","1","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2024/10/16 11:32:59 AM AST","Female","United States","South Carolina","","Yes","Carrier","Hanover","2020-01-01","6","8","6","6","6","30","0","0","Unsure/Unclear","6","6","0","0","Unsure / Unclear","Yes","Yes",""
"2024/10/16 12:03:19 PM AST","Female","UK","","","No","Carrier","CNA Hardy","2018-12-31","","","","52","20","15","0","0","Yes","12","12","52","0","Yes","No","Yes",""
"2024/10/16 1:38:03 PM AST","Female","United States","Washington","","Yes","Carrier","Chubb","2019-01-01","12","14","12","12","12","0","0","0","Unsure/Unclear","12","12","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
"2024/10/16 1:46:13 PM AST","Female","United States","New York","","Not Sure / Unclear","Retail Broker","Alliant ","2024-07-01","3","3","3 ","3","3","0","0","0","Unsure/Unclear","3","3","0","0","Unsure / Unclear","Yes","Yes","I’m confused because I don’t breed but am doing it for the benefit of humanity"
"2024/10/16 2:12:08 PM AST","Female","Bermuda","","","No","Carrier","Ascot Bermuda","2021-06-21","","","","16","16","4","0","0","Unsure/Unclear","2","2","52","0","Unsure / Unclear","No","Yes",""
"2024/10/18 11:10:41 AM AST","Female","United States","Missouri","","Not Sure / Unclear","Retail Broker","Lockton","","6","6","8","12","12","4","0","0","No","12","12","4","0","No","Unsure / Unclear","Yes",""
"2024/10/18 11:16:43 AM AST","Female","United States","Connecticut","","Yes","Carrier","AIG","2024-03-30","6","8","21.6","8","8","2","0","0","Unsure/Unclear","8","8","0","0","Unsure / Unclear","No","Yes","Salary increases are not given while on leave but there's no mention of bonus being prorated, so I'm not sure how that's handled. STD needs to be taken before the parental leave kicks in, so I'm not sure how that works for paternity/adoption scenarios. "
"2024/10/18 11:24:27 AM AST","Female","United States","Texas","","Yes","Carrier","Markel","2023-01-01","6","8","4.8","8","8","0","13","0","No","8","4.8","13","0","No","No","Yes","Bonuses are only pro-rated if you take STD, not paid parental leave. STD pay is based on years of service (91 days-9 years = 80% base pay. 10 years or more of service = 100% base pay)"
"2024/10/18 11:36:04 AM AST","Female","Bermuda","","","Not Sure / Unclear","Reinsurer","Hiscox Re","","13","13","13","18","18","0","365","0","Unsure/Unclear","3","3","365","0","No","Unsure / Unclear","Yes",""
"2024/10/18 11:39:49 AM AST","Female","United States","New York","","Yes","Carrier","Arch Insurance","2019-01-01","6","8","6","10","10","4","0","0","No","10","10","0","0","No","Yes","Yes",""
"2024/10/18 11:45:04 AM AST","Female","UK","","","Not Sure / Unclear","Wholesale Broker","Aon","2024-06-01","26","26","39","26","52","4","26","0","Unsure/Unclear","8","8","0","0","Yes","Unsure / Unclear","Yes",""
"2024/10/18 12:16:38 PM AST","Female","United States","New York","","Yes","Carrier","Swiss Re","2024-09-27","6","8","6","16","16","0","0","0","No","6","6","0","0","No","Yes","Yes",""
"2024/10/18 12:28:09 PM AST","Male","United States","Texas","","Yes","Retail Broker","Newfront","","16","18","16","16","16","0","24","0","No","16","16","24","0","No","Unsure / Unclear","Yes",""
"2024/10/18 12:35:09 PM AST","Female","United States","Illinois","","Not Sure / Unclear","Carrier","Sompo","2021-01-01","6","8","6","26","26","4","52","0","No","4","4","52","0","Unsure / Unclear","No","Yes",""
"2024/10/18 2:19:20 PM AST","Female","United States","Massachusetts","","Yes","Carrier","Liberty Mutual","2020-11-13","8","8","8","8","8","4","52","0","Yes","8","8","52","0","No","Unsure / Unclear","Yes","Raises don't go into effect until you return from leave. Bonuses are pro-rated for the portion of any leave (medical, parenting, otherwise) that exceeds 13 weeks. This applies to all employees in 2024. In 2023 the UW plan was different than the company wide and the UW plan pro-rated for FULL TIME OF LEAVE (unbeknownst to me until bonus time). I raised the inequity of this to HR and the desperate impact on women and they declined to make any adjustments for me. In 2024 the UWs got rolled into the main plan. My December 2022 baby cost me 12,000 in bonus. I'm glad it's fixed now but I am VERY SALTY that HR did not recognize the inequity of the prior UW plan and make it right."
"2024/10/18 2:45:21 PM AST","Female","United States","Georgia","","Yes","Carrier","Chubb","2023-01-01","6","8","8","12","8","4","12","0","Unsure/Unclear","12","8","12","0","Unsure / Unclear","Yes","Yes",""
"2024/10/18 2:45:22 PM AST","Female","Canada","","Ontario","Yes","Carrier","Chubb","2022-08-01","6","6","6","6","6","0","0","0","Yes","8","8","0","0","Yes","No","Yes","To clarify - Chubb provides 6 weeks for birthing parent full pay (or in Canada top up of full pay to what you receive from government for EI), then an additional 8 weeks for parental leave. So technically you get 14 weeks of paid leave. However bonus are prorated based on the full quarter you worked. If you don’t work the full quarter you don’t get credits for the bonus. I.e. you go on Mat leave May 31st. Your bonus is pro rated to the 25% of the 1 quarter you worked. "
"2024/10/18 3:00:17 PM AST","Female","UK","","","No","Carrier","W R Berkley ","","","","","52","18","18","104","0","Yes","4","2","52","0","No","No","Yes",""
"2024/10/18 3:00:18 PM AST","Female","UK","","","Not Sure / Unclear","Retail Broker","McGill and Partners ","2019-10-01","52","52","52","52","52","12","0","0","Unsure/Unclear","26","26","0","0","Unsure / Unclear","Yes","Yes","Women get 52 weeks (one year) fully paid maternity leave no matter where you are based  I.e. it includes our US colleagues too. If you want to you can split your maternity leave over two years. Men get 6 months fully paid paternity leave, again no matter where you are based. This can also be taken over 2 years"
"2024/10/18 3:14:09 PM AST","Female","UK","","","No","Retail Broker","Lockton","2024-07-01","","","","52","38","10","0","0","Yes","12","12","0","0","Yes","Yes","Yes","Lockton pay women 6 months full pay and the following 3 months half pay. Lockton pay men 12 weeks full pay which is a new initiative "
"2024/10/18 3:26:41 PM AST","Female","United States","Colorado","","Yes","Retail Broker","Lockton ","","18","18","18","18","18","0","12","0","No","12","12","12","0","No","Unsure / Unclear","Yes",""
"2024/10/18 3:41:00 PM AST","Male","United States","Massachusetts","","No","Carrier","FM","2018-01-01","","","","4","10","0","1","0","No","4","4","0","0","No","Yes","Yes",""
"2024/10/18 4:32:59 PM AST","Female","United States","New York","","Yes","Carrier","AXA XL","2024-01-01","6","6","6","12","12","0","0","0","Unsure/Unclear","12","12","0","0","Unsure / Unclear","Yes","Yes",""
"2024/10/18 6:20:03 PM AST","Female","United States","Michigan","","Yes","Wholesale Broker","H.W. Kaufman/ Burns & Wilcox","2018-07-16","12","12","12","12","12","0","52","0","No","2","2","52","0","No","Unsure / Unclear","Yes",""
"2024/10/18 6:25:58 PM AST","Female","United States","Colorado","","No","Retail Broker","CAC Group","2022-09-23","","","","12","12","4","24","0","No","12","12","24","0","No","No","Yes",""
"2024/10/18 6:47:10 PM AST","Female","United States","Arizona","","Not Sure / Unclear","Carrier","CNA","","6","6","6","6","6","0","52","0","Unsure/Unclear","6","6","6","6","Unsure / Unclear","Yes","Yes","Must be taken within 12 months of birth or placement of the child. Can be taken in increments, with 1 week minimum. So doesn’t have to be all at once. The same 6 weeks @ 100% pay applies to care for an immediate family member. This is all covered under Paid Family Leave "
"2024/10/18 8:51:09 PM AST","Female","United States","Pennsylvania","","Yes","Carrier","Liberty","","6","8","16","16 ","16","0","52","0","Yes","8","8","52","0","Yes","Unsure / Unclear","Yes",""
"2024/10/18 9:03:38 PM AST","Female","Bermuda","","","No","Carrier","Ascot re","2022-01-01","","","","16","16","4","52","0","Unsure/Unclear","2","2","52","0","Unsure / Unclear","Yes","Yes",""
"2024/10/18 10:20:34 PM AST","Female","United States","Colorado","","Yes","Carrier","Travelers","2024-01-01","6","8","6","6","6","4","0","0","Unsure/Unclear","6","6","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear","Colorado FAMLI benefit stacks with the STD but not with parental leave. So an additional 7 weeks is available from FAMLI at partial pay (max $1,100 per week). Making a total of 12 weeks at full pay and 7 weeks at partial pay for traditional birthing mothers. 14 weeks at full pay and 5 weeks at partial pay for c-section mothers. "
"2024/10/18 10:25:46 PM AST","Female","United States","Mississippi","","Yes","Retail Broker","Gallagher","","6","8","6","4","4","4","0","0","No","4","4","0","0","No","Yes","Yes",""
"2024/10/18 10:39:09 PM AST","Female","United States","Pennsylvania","","No","Retail Broker","Marsh McLennan Agency","","","","","9","9","0","0","0","Unsure/Unclear","6","6","0","0","Unsure / Unclear","Unsure / Unclear","Yes",""
"2024/10/19 1:20:06 AM AST","Male","United States","Illinois","","No","Carrier","Beazley","2022-01-01","","","","24","24","0","12","0","No","24","24","12","0","No","Yes","Yes",""
